ticker,EBIT,Invested Capital,Free Cash Flow,Asset Turnover,Debt to Equity,R&D to Revenue,SG&A to Revenue,Market Cap,Sector,Sector_Grouped,ROIC,ROE,ROA,Profit Margin,Revenue Growth,Earnings Growth
AAPL,145702910746.624,191341202576.0,101090746368,1.5729040066586075,0.79548,0.0,0.1986259725778997,4583336181760,Technology,Technology,0.6406095602922411,1.4147099,0.26229,0.27152002,0.166,0.218
MSFT,147443147815.6493,539767798901.008,37011251200,0.3930986570842974,0.30271000000000003,0.0,0.0,3344578379776,Technology,Technology,0.2319812300899489,0.34013999,0.14814,0.39341998,0.183,0.234
GOOGL,152610505862.67648,325992300971.08203,27921750016,0.8640245139316521,0.20026,0.0,0.035111404329088124,4607987679232,Technology,Technology,0.491447173453988,0.38884997,0.14641,0.37919,0.218,0.82
META,87311519760.38399,297617925488.64404,25558249472,0.4815189247468052,0.35607999999999995,0.0,0.0,1605578129408,Technology,Technology,0.23717321014218726,0.32930002,0.16395001,0.32837,0.331,0.624
NVDA,166279958585.01633,169572312128.0,46335873024,0.9965895973263009,6.555,0.0,0.0,5114022068224,Technology,Technology,0.9412680144121506,1.14288,0.52727,0.62966,0.852,2.145
INTC,3698356651.1308804,156492600016.0,-8301250048,0.2290331865170332,0.36028,0.0,0.5592069376184124,576381648896,Technology,Technology,-0.02028211000184984,-0.02911,0.0063099996,-0.05904,0.072,0.0
AMD,5391877858.42688,68356363534.533,7173374976,0.36528176935644613,6.005,0.0,0.3254424842184141,841552887808,Technology,Technology,0.07215128905311646,0.08063,0.03647,0.13374,0.378,0.912
ORCL,20937474178.2528,195716950780.0,-22298499072,0.2182607792346205,4.1526499999999995,0.0,0.002396000666089006,649353691136,Technology,Technology,0.08271128377733865,0.57572,0.06335,0.25298,0.217,0.245
CRM,9336722153.472,76783017720.0,16552999936,0.3718617473478483,1.24282,0.0,0.005563471166997039,156510912512,Technology,Technology,0.10448925168918198,0.16908,0.05703,0.18733,0.133,0.522
ADBE,9478471537.50016,18052272128.0,9321374720,0.9030441891050432,0.5834,0.0,0.0,104772681728,Technology,Technology,0.39928491820262463,0.58774,0.18905,0.29477,0.12,0.111
CSCO,15181640511.593103,81878732240.66501,9288375296,0.4946013588115502,0.67541,0.0,0.10710756399818726,474627538944,Technology,Technology,0.1460452462899892,0.25229,0.07337,0.19685,0.12,0.371
IBM,9515919645.32736,102775995662.23999,13080750080,0.4469980048030351,2.1116900000000003,0.0,0.27833117373695415,279897833472,Technology,Technology,0.10443099685720987,0.35772,0.05369,0.15606,0.095,0.142
QCOM,9813166881.1776,42418931616.0,9589624832,0.6991532466794508,0.55979,0.0,0.23141739537641653,264575090688,Technology,Technology,0.2339521380179402,0.36083,0.12692,0.22308001,-0.035,1.73
TXN,6973989730.833613,30829380659.667,1068249984,0.39871058592973485,0.83741,0.0,0.0485416499674439,278197174272,Technology,Technology,0.17308164763040154,0.32347,0.12161,0.29108,0.186,0.313
NOW,1862543131.68896,14159034640.0,5108125184,0.6572952579013772,0.20728000000000002,0.0,0.10096392607482593,128263782400,Technology,Technology,0.12409037626310941,0.1607,0.056560002,0.12586,0.221,0.023
SNOW,-1115978073.795932,4711338285.425,1739497728,0.7121575624728603,1.4291200000000002,0.0,0.5502869941299192,88574377984,Technology,Technology,-0.2540881098908423,-0.54869,-0.0968,-0.23786,0.335,0.0
PLTR,2412732400.3819776,8305628444.349999,1752997120,0.4193280187448312,2.477,0.0,0.0,375275192320,Technology,Technology,0.274696743694577,0.32587,0.14702,0.43673,0.847,3.25
SHOP,1942698620.1088,11899173650.25,1256749952,0.692821226721078,1.432,0.0,0.3631975744300429,154044579840,Technology,Technology,0.1119405463901281,0.11311,0.0962,0.10771,0.343,0.0
PYPL,6061999577.667994,31471503722.864002,4083500032,0.714593556063911,0.5828,0.0,0.4110097008147803,39474221056,Technology,Technology,0.1607485887089864,0.25120002,0.04738,0.14997,0.072,-0.062
NFLX,15146875115.581602,47855790643.392,25993676800,0.6532123777372613,0.5378799999999999,0.0,0.18668258558404832,362212884480,Technology,Technology,0.2794571048602381,0.48494998,0.15402001,0.28521,0.162,0.864
